Product;Application-Areas;SubDomain;Domain;Company
Texapon® K 30 UP; Food and Beverage Processing;I&I;Home care and I&I;BASF
Texapon® N 70; Food and Beverage Processing;I&I;Home care and I&I;BASF
Texapon® NSO UP; Food and Beverage Processing;I&I;Home care and I&I;BASF
Tinogard® DA; Food and Beverage Processing;I&I;Home care and I&I;BASF
Tinogard® Q; Food and Beverage Processing;I&I;Home care and I&I;BASF
Tinogard® TS; Food and Beverage Processing;I&I;Home care and I&I;BASF
Tinosan® HP 100; Food and Beverage Processing;I&I;Home care and I&I;BASF
Trilon® M Powder; Food and Beverage Processing;I&I;Home care and I&I;BASF
Dehydol® 04 Deo; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Dehydol® 100; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Dehydol® 100/MB; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Dehydol® 980; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Dehydol® 980/MB; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Dehypon® KE 3447; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Dehypon® LS 54; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Dehypon® LS 54/MB; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Dehypon® WET; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Dehyton® PK 45; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Dehyton® PL; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Lutensol® TO 8; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Lutensol® XL 140; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Lutensol® XL 60; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Lutensol® XP 40; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Lutensol® XP 60; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Lutensol® XP 70; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Lutropur® MSA; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Plurafac® LF 303; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Plurafac® LF 400; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Plurafac® LF 403; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Plurafac® LF 900; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Pluriol® E 6000 Powder; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Sokalan® CP 10 S; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Sokalan® CP 5; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Sulfopon® 101 UP; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Texapon® EHS; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Tinogard® HS; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Tinogard® TL; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Tinogard® TT; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Trilon® M Granules SG; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Cibafast® HA Liquid; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Dehydol® LT 7; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Dehydol® LT 7/MB; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Glucopon® 215 UP; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Glucopon® 50 G; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Glucopon® 600 CSUP; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Glucopon® 650 EC; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Lutensol® XL 100; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Lutensol® XL 40; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Lutensol® XL 50; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Lutensol® XL 70; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Lutensol® XL 80; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Lutensol® XL 90; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Lutensol® XP 100; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Lutensol® XP 30; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Lutensol® XP 50; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Lutensol® XP 80; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Lutensol® XP 90; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Plantatex® LLE; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Sokalan® CP 9; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Sokalan® PA 25 CL Granules; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Sokalan® PA 30 CL; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Texapon® 842 UP; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Texapon® K 30 UP; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Texapon® N 70; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Texapon® NSO UP; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Tinogard® DA; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Tinogard® Q; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Tinogard® TS; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Tinosan® HP 100; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Trilon® M Powder; Food Service and Kitchen Hygiene;I&I;Home care and I&I;BASF
Cibafast® HA Liquid; Hard Surface Cleaning;Homecare;Home care and I&I;BASF
Dehydol® LT 7; Hard Surface Cleaning;Homecare;Home care and I&I;BASF
Dehydol® LT 7/MB; Hard Surface Cleaning;Homecare;Home care and I&I;BASF
Glucopon® 215 UP; Hard Surface Cleaning;Homecare;Home care and I&I;BASF
Glucopon® 50 G; Hard Surface Cleaning;Homecare;Home care and I&I;BASF
Glucopon® 600 CSUP; Hard Surface Cleaning;Homecare;Home care and I&I;BASF
Glucopon® 650 EC; Hard Surface Cleaning;Homecare;Home care and I&I;BASF
Lutensol® AO 7; Hard Surface Cleaning;Homecare;Home care and I&I;BASF
Lutensol® AO 8; Hard Surface Cleaning;Homecare;Home care and I&I;BASF
Lutensol® XL 100; Hard Surface Cleaning;Homecare;Home care and I&I;BASF
Lutensol® XL 40; Hard Surface Cleaning;Homecare;Home care and I&I;BASF
Lutensol® XL 50; Hard Surface Cleaning;Homecare;Home care and I&I;BASF
Lutensol® XL 70; Hard Surface Cleaning;Homecare;Home care and I&I;BASF
Lutensol® XL 80; Hard Surface Cleaning;Homecare;Home care and I&I;BASF
Lutensol® XL 90; Hard Surface Cleaning;Homecare;Home care and I&I;BASF
Lutensol® XP 100; Hard Surface Cleaning;Homecare;Home care and I&I;BASF
Lutensol® XP 30; Hard Surface Cleaning;Homecare;Home care and I&I;BASF
Lutensol® XP 50; Hard Surface Cleaning;Homecare;Home care and I&I;BASF
Lutensol® XP 80; Hard Surface Cleaning;Homecare;Home care and I&I;BASF
Lutensol® XP 90; Hard Surface Cleaning;Homecare;Home care and I&I;BASF
Plantatex® LLE; Hard Surface Cleaning;Homecare;Home care and I&I;BASF
Rheovis® AT 120; Hard Surface Cleaning;Homecare;Home care and I&I;BASF
Rheovis® TTA; Hard Surface Cleaning;Homecare;Home care and I&I;BASF
Sokalan® CP 9; Hard Surface Cleaning;Homecare;Home care and I&I;BASF
Sokalan® HP 20; Hard Surface Cleaning;Homecare;Home care and I&I;BASF
Sokalan® PA 25 CL Granules; Hard Surface Cleaning;Homecare;Home care and I&I;BASF
Sokalan® PA 30 CL; Hard Surface Cleaning;Homecare;Home care and I&I;BASF
Sulfopon® 1214 G; Hard Surface Cleaning;Homecare;Home care and I&I;BASF
Texapon® 842 UP; Hard Surface Cleaning;Homecare;Home care and I&I;BASF
Texapon® K 30 UP; Hard Surface Cleaning;Homecare;Home care and I&I;BASF
Texapon® LS 30; Hard Surface Cleaning;Homecare;Home care and I&I;BASF
Texapon® N 70; Hard Surface Cleaning;Homecare;Home care and I&I;BASF
Texapon® N 701; Hard Surface Cleaning;Homecare;Home care and I&I;BASF
Texapon® NSO UP; Hard Surface Cleaning;Homecare;Home care and I&I;BASF
Tinogard® DA; Hard Surface Cleaning;Homecare;Home care and I&I;BASF
Tinogard® Q; Hard Surface Cleaning;Homecare;Home care and I&I;BASF
Tinogard® TS; Hard Surface Cleaning;Homecare;Home care and I&I;BASF
Tinosan® HP 100; Hard Surface Cleaning;Homecare;Home care and I&I;BASF
Trilon® M Liquid; Hard Surface Cleaning;Homecare;Home care and I&I;BASF
Trilon® M Max BioBased L; Hard Surface Cleaning;Homecare;Home care and I&I;BASF
Trilon® M Max EcoBalanced; Hard Surface Cleaning;Homecare;Home care and I&I;BASF
Trilon® M Powder; Hard Surface Cleaning;Homecare;Home care and I&I;BASF
Disponil® SUS IC 875; Industrial Cleaning;I&I;Home care and I&I;BASF
Lutensol® AO 5; Industrial Cleaning;I&I;Home care and I&I;BASF
Lutensol® AT 25 Flakes; Industrial Cleaning;I&I;Home care and I&I;BASF
Lutensol® AT 25 Flakes/MB; Industrial Cleaning;I&I;Home care and I&I;BASF
Pluronic® PE 6400; Industrial Cleaning;I&I;Home care and I&I;BASF
Pluronic® RPE 1740; Industrial Cleaning;I&I;Home care and I&I;BASF
Degressal® SD 20; Industrial Cleaning;I&I;Home care and I&I;BASF
Degressal® SD 40; Industrial Cleaning;I&I;Home care and I&I;BASF
Dehypon® LS 36; Industrial Cleaning;I&I;Home care and I&I;BASF
Dehypon® LS 36/MB; Industrial Cleaning;I&I;Home care and I&I;BASF
Lutensit® A-EP; Industrial Cleaning;I&I;Home care and I&I;BASF
Lutensol® ON 70; Industrial Cleaning;I&I;Home care and I&I;BASF
Lutensol® ON 80; Industrial Cleaning;I&I;Home care and I&I;BASF
Lutensol® TO 10; Industrial Cleaning;I&I;Home care and I&I;BASF
Lutensol® TO 109; Industrial Cleaning;I&I;Home care and I&I;BASF
Lutensol® TO 12; Industrial Cleaning;I&I;Home care and I&I;BASF
Lutensol® TO 129; Industrial Cleaning;I&I;Home care and I&I;BASF
Lutensol® TO 389; Industrial Cleaning;I&I;Home care and I&I;BASF
Lutensol® TO 6; Industrial Cleaning;I&I;Home care and I&I;BASF
Plurafac® LF 1300; Industrial Cleaning;I&I;Home care and I&I;BASF
Plurafac® LF 300; Industrial Cleaning;I&I;Home care and I&I;BASF
Plurafac® LF 401; Industrial Cleaning;I&I;Home care and I&I;BASF
Pluriol® E 6000 Flakes; Industrial Cleaning;I&I;Home care and I&I;BASF
Pluronic® RPE 2520; Industrial Cleaning;I&I;Home care and I&I;BASF
Pluronic® RPE 3110; Industrial Cleaning;I&I;Home care and I&I;BASF
Poligen® WE 1; Industrial Cleaning;I&I;Home care and I&I;BASF
Poligen® WE 3; Industrial Cleaning;I&I;Home care and I&I;BASF
Poligen® WE 4; Industrial Cleaning;I&I;Home care and I&I;BASF
Poligen® WE 6; Industrial Cleaning;I&I;Home care and I&I;BASF
Protectol® GA 24; Industrial Cleaning;I&I;Home care and I&I;BASF
Protectol® GA 24 AS; Industrial Cleaning;I&I;Home care and I&I;BASF
Protectol® GA 50; Industrial Cleaning;I&I;Home care and I&I;BASF
Protectol® GA 50 AS; Industrial Cleaning;I&I;Home care and I&I;BASF
Protectol® GA 50 non BPR; Industrial Cleaning;I&I;Home care and I&I;BASF
Protectol® PE; Industrial Cleaning;I&I;Home care and I&I;BASF
Sokalan® DCS; Industrial Cleaning;I&I;Home care and I&I;BASF
Dehypon® 2574; Industrial Cleaning;I&I;Home care and I&I;BASF
Dehypon® 2574/MB; Industrial Cleaning;I&I;Home care and I&I;BASF
